n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj;source;geo_point_borne;code_insee_commune;Région
Aventime;Driveco;Aventim;FR*E24*PAVENTIM59910*1;Aventim | Bondues;1, Avenue du Général de Gaulle, Bondues, 59910;-;3.085165;50.68644;4;FR*E24*E10166*P1;22.000;T2 - E/F;Payant - CB;Accès libre;;04/06/2018;https://www.data.gouv.fr/fr/datasets/irve-driveco-20180406/#resource-7860c116-7ae3-4be9-875b-2e6b28c348bd;50.68644,3.085165;59090;Hauts-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*1*_*_*_;P1;Parking P1, Aéroport de Roissy-CDG;77282;2.541442;49.01387;2;FR*SOD*E*GADP*1*9*2*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;20/12/2017;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.01387,2.541442;77282;Ile-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*2*_*_*_;PEF;Parking PEF, Aéroport de Roissy-CDG;77291;2.576883;49.004442;2;FR*SOD*E*GADP*2*7*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;20/12/2017;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.004442,2.576883;77291;Ile-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*1*_*_*_;P1;Parking P1, Aéroport de Roissy-CDG;77282;2.541442;49.01387;2;FR*SOD*E*GADP*1*7*2*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;20/12/2017;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.01387,2.541442;77282;Ile-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*1*_*_*_;P1;Parking P1, Aéroport de Roissy-CDG;77282;2.541442;49.01387;2;FR*SOD*E*GADP*1*10*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;20/12/2017;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.01387,2.541442;77282;Ile-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*2*_*_*_;PEF;Parking PEF, Aéroport de Roissy-CDG;77291;2.576883;49.004442;2;FR*SOD*E*GADP*2*15*2*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;20/12/2017;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.004442,2.576883;77291;Ile-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*6*_*_*_;PCD;Parking PCD, Aéroport de Roissy-CDG;93073;2.566858;49.003828;2;FR*SOD*E*GADP*6*2*2*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;07/11/2018;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.003828,2.566858;93073;Ile-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*5*_*_*_;PG;Parking PG, Aéroport de Roissy-CDG;77294;2.605804;49.005505;2;FR*SOD*E*GADP*5*10*2*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;07/11/2018;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.005505,2.605804;77294;Ile-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*5*_*_*_;PG;Parking PG, Aéroport de Roissy-CDG;77294;2.605804;49.005505;2;FR*SOD*E*GADP*5*10*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;07/11/2018;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.005505,2.605804;77294;Ile-de-France
Aéroports de Paris SA;Sodetrel;Paris Aéroports;FR*SOD*P*GADP*1*_*_*_;P1;Parking P1, Aéroport de Roissy-CDG;77282;2.541442;49.01387;2;FR*SOD*E*GADP*1*3*1*_;3,7kW;T2 - E/F;Gratuit;24h/24;Accès libre sans badge;20/12/2017;https://www.data.gouv.fr/fr/datasets/infrastructures-de-recharge-pour-vehicules-electriques-paris-aeroports/#resource-f63cf765-8aa2-47d1-ba7e-5e3d2828daf7;49.01387,2.541442;77282;Ile-de-France
